round,strategy,dataset,cost,f1,ece
0,Random,yahoo_answers_topics,5.340927425564596,0.0,0.0
1,Random,yahoo_answers_topics,8.992378125543986,0.01818181818181818,0.03283817321062088
2,Random,yahoo_answers_topics,13.857755224438161,0.01927710843373494,0.013158313930034637
3,Random,yahoo_answers_topics,18.349703925937682,0.05047486103694088,0.014140456914901733
4,Random,yahoo_answers_topics,22.390716140300334,0.09208744383217568,0.07283055782318115
5,Random,yahoo_answers_topics,28.230719881906385,0.05626787196753067,0.005872666835784912
6,Random,yahoo_answers_topics,33.91504082389788,0.06614509246088193,0.00877198576927185
7,Random,yahoo_answers_topics,37.64333033884414,0.2220310613539068,0.15999111533164978
8,Random,yahoo_answers_topics,42.847289205712386,0.2512237486044568,0.17474862933158875
9,Random,yahoo_answers_topics,47.17080833525076,0.06339973821440659,0.05341385304927826
10,Random,yahoo_answers_topics,52.07135181104543,0.16813930799348423,0.14847657084465027
11,Random,yahoo_answers_topics,57.54761853029751,0.29677776405329326,0.23859110474586487
12,Random,yahoo_answers_topics,61.5496020807017,0.34477933569030716,0.24447090923786163
13,Random,yahoo_answers_topics,67.05784489744833,0.37340063934746115,0.30606505274772644
14,Random,yahoo_answers_topics,72.54790685271045,0.2528403846099834,0.20899349451065063
15,Random,yahoo_answers_topics,76.61027725889198,0.42354439972021646,0.29401716589927673
16,Random,yahoo_answers_topics,82.54751253184142,0.4726860206493771,0.3196146488189697
17,Random,yahoo_answers_topics,88.20940638151474,0.4440045848073286,0.30687540769577026
18,Random,yahoo_answers_topics,93.97568468782549,0.5216352162031431,0.32035186886787415
19,Random,yahoo_answers_topics,101.02891597453218,0.6200270838659061,0.32438498735427856
20,Random,yahoo_answers_topics,107.04596595139841,0.6056457242960979,0.29794180393218994
21,Random,yahoo_answers_topics,114.23556747362495,0.6070261282281154,0.3316611349582672
22,Random,yahoo_answers_topics,121.0677972860526,0.5943183652215853,0.28174513578414917
23,Random,yahoo_answers_topics,128.23843784843524,0.586507873376481,0.27348750829696655
24,Random,yahoo_answers_topics,134.6607989923607,0.6287836148622001,0.27947351336479187
25,Random,yahoo_answers_topics,140.58957067019574,0.6157601981457688,0.2515467405319214
26,Random,yahoo_answers_topics,145.73911630124363,0.6341267453003515,0.24274557828903198
27,Random,yahoo_answers_topics,153.6796375526004,0.6348719951843079,0.25611451268196106
28,Random,yahoo_answers_topics,163.4714041032556,0.6345438182262733,0.10381200909614563
29,Random,yahoo_answers_topics,169.99140423801168,0.6286340338131804,0.1093774065375328
30,Random,yahoo_answers_topics,176.49472135080245,0.6236223266398271,0.13923774659633636
31,Random,yahoo_answers_topics,183.9085448060477,0.6247578723362406,0.12358220666646957
32,Random,yahoo_answers_topics,193.40176367616945,0.6162082999156464,0.09925175458192825
33,Random,yahoo_answers_topics,200.95768739746632,0.003622419841723097,0.10269373655319214
34,Random,yahoo_answers_topics,207.26685618611216,0.005141747572815534,0.09588733315467834
35,Random,yahoo_answers_topics,214.14757010281127,0.6413443789179056,0.10826054960489273
36,Random,yahoo_answers_topics,220.75726462065165,0.6464929410582791,0.13765865564346313
